#ID,,,,,,,,
21,,,,,,,,
X_position,Y_position,Time,year,month,day,hour,minute,second
590.24451,419.59809,56335.077,2017,9,28,15,38,55.077
589.44201,417.9445,56335.077,2017,9,28,15,38,55.077
586.23197,410.50335,56335.097,2017,9,28,15,38,55.097
583.02194,403.889,56335.127,2017,9,28,15,38,55.127
577.40439,395.62105,56335.147,2017,9,28,15,38,55.147
570.18182,386.52632,56335.167,2017,9,28,15,38,55.167
562.95925,377.43158,56335.197,2017,9,28,15,38,55.197
556.53918,369.99043,56335.217,2017,9,28,15,38,55.217
549.31661,361.72249,56335.237,2017,9,28,15,38,55.237
545.30408,356.76172,56335.267,2017,9,28,15,38,55.267
542.09404,351.80096,56335.287,2017,9,28,15,38,55.287
538.88401,346.84019,56335.317,2017,9,28,15,38,55.317
535.67398,341.05263,56335.337,2017,9,28,15,38,55.337
532.46395,331.95789,56335.357,2017,9,28,15,38,55.357
529.25392,325.34354,56335.387,2017,9,28,15,38,55.387
525.24138,317.90239,56335.407,2017,9,28,15,38,55.407
519.62382,310.46124,56335.437,2017,9,28,15,38,55.437
514.80878,305.50048,56335.457,2017,9,28,15,38,55.457
510.79624,301.36651,56335.477,2017,9,28,15,38,55.477
509.99373,300.53971,56335.507,2017,9,28,15,38,55.507
509.19122,300.53971,56335.547,2017,9,28,15,38,55.547
509.19122,299.71292,56335.597,2017,9,28,15,38,55.597
507.58621,296.40574,56335.617,2017,9,28,15,38,55.617
506.7837,293.92536,56335.647,2017,9,28,15,38,55.647
505.98119,292.27177,56335.667,2017,9,28,15,38,55.667
505.17868,292.27177,56335.697,2017,9,28,15,38,55.697
505.17868,290.61818,56335.747,2017,9,28,15,38,55.747
505.17868,289.79139,56335.767,2017,9,28,15,38,55.767
505.17868,288.96459,56335.907,2017,9,28,15,38,55.907
504.37618,288.96459,56335.917,2017,9,28,15,38,55.917
503.57367,285.65742,56335.957,2017,9,28,15,38,55.957
502.77116,281.52344,56335.987,2017,9,28,15,38,55.987
501.96865,279.04306,56336.017,2017,9,28,15,38,56.017
501.96865,277.38947,56336.047,2017,9,28,15,38,56.047
501.96865,276.56268,56336.067,2017,9,28,15,38,56.067
501.96865,275.73589,56336.097,2017,9,28,15,38,56.097
501.96865,273.2555,56336.117,2017,9,28,15,38,56.117
501.16614,271.60191,56336.147,2017,9,28,15,38,56.147
500.36364,269.94833,56336.167,2017,9,28,15,38,56.167
499.56113,268.29474,56336.197,2017,9,28,15,38,56.197
499.56113,267.46794,56336.217,2017,9,28,15,38,56.217
498.75862,266.64115,56336.237,2017,9,28,15,38,56.237
498.75862,265.81435,56336.267,2017,9,28,15,38,56.267
497.95611,264.16077,56336.287,2017,9,28,15,38,56.287
497.95611,263.33397,56336.317,2017,9,28,15,38,56.317
497.15361,262.50718,56336.337,2017,9,28,15,38,56.337
497.15361,261.68038,56336.367,2017,9,28,15,38,56.367
496.3511,261.68038,56336.507,2017,9,28,15,38,56.507
495.54859,260.85359,56336.547,2017,9,28,15,38,56.547
493.14107,258.37321,56336.587,2017,9,28,15,38,56.587
491.53605,257.54641,56336.617,2017,9,28,15,38,56.617
491.53605,256.71962,56336.727,2017,9,28,15,38,56.727
490.73354,256.71962,56336.737,2017,9,28,15,38,56.737
489.93103,255.89282,56336.767,2017,9,28,15,38,56.767
489.93103,256.71962,56339.207,2017,9,28,15,38,59.207
